player_id,team_id,jersey_no,player_name,posi_to_play,dt_of_bir,age,playing_club
160055,1203,16,Thomas Meunier,DF,9/12/1991,24,Club Brugge
160069,1203,17,Divock Origi,FD,4/18/1995,21,Liverpool
160053,1203,18,Christian Kabasele,DF,2/24/1991,25,Genk
160060,1203,19,Mousa Dembele,MF,7/16/1987,28,Tottenham
160066,1203,20,Christian Benteke,FD,12/3/1990,25,Liverpool
160054,1203,21,Jordan Lukaku,DF,7/25/1994,21,Oostende
160065,1203,22,Michy Batshuayi,FD,10/2/1993,22,Marseille
160051,1203,23,Laurent Ciman,DF,8/5/1985,30,Montreal
160072,1204,1,Ivan Vargic,GK,3/15/1987,29,Rijeka
160079,1204,2,Sime Vrsaljko,DF,1/10/1992,24,Sassuolo
160077,1204,3,Ivan Strinic,DF,7/17/1987,28,Napoli
160085,1204,4,Ivan PeriSic,MF,2/2/1989,27,Internazionale
160073,1204,5,Vedran Corluka,DF,2/5/1986,30,Lokomotiv Moskva
160074,1204,6,Tin Jedvaj,DF,11/28/1995,20,Leverkusen
160086,1204,7,Ivan Rakitic,MF,3/10/1988,28,Barcelona
160083,1204,8,Mateo Kovacic,MF,5/6/1994,22,Real Madrid
160090,1204,9,Andrej Kramaric,FD,6/19/1991,24,Hoffenheim
160084,1204,10,Luka Modric,MF,9/9/1985,30,Real Madrid
160076,1204,11,Darijo Srna,DF,5/1/1982,34,Shakhtar Donetsk
160070,1204,12,Lovre Kalinic,GK,4/3/1990,26,Hajduk Split
160075,1204,13,Gordon Schildenfeld,DF,3/18/1985,31,Dinamo Zagreb
160081,1204,14,Marcelo Brozovic,MF,11/16/1992,23,Internazionale
160087,1204,15,Marko Rog,MF,7/19/1995,20,Dinamo Zagreb
160089,1204,16,Nikola Kalinic,FD,1/5/1988,28,Fiorentina
160091,1204,17,Mario Mandzukic,FD,5/21/1986,30,Juventus
160082,1204,18,Ante Coric,MF,4/14/1997,19,Dinamo Zagreb
160080,1204,19,Milan Badelj,MF,2/25/1989,27,Fiorentina
160092,1204,20,Marko Pjaca,FD,5/6/1995,21,Dinamo Zagreb
160078,1204,21,Domagoj Vida,DF,4/29/1989,27,Dynamo Kyiv
160088,1204,22,Duje Cop,FD,2/1/1990,26,Malaga
160071,1204,23,Danijel SubaSic,GK,10/27/1984,31,Monaco
160093,1205,1,Petr Cech,GK,5/20/1982,34,Arsenal
160098,1205,2,Pavel Kaderabek,DF,4/25/1992,24,Hoffenheim
160099,1205,3,Michal Kadlec,DF,12/13/1984,31,Fenerbahce
160096,1205,4,Theodor Gebre Selassie,DF,12/24/1986,29,Bremen
160097,1205,5,Roman Hubnik,DF,6/6/1984,32,Plzen
160101,1205,6,TomasSivok,DF,9/15/1983,32,Bursaspor
160114,1205,7,TomasNecid,FD,8/13/1989,26,Bursaspor
160100,1205,8,David Limbersky,DF,10/6/1983,32,Plzen
160104,1205,9,Borek Dockal,MF,9/30/1988,27,Sparta Praha
160110,1205,10,TomasRosicky,MF,10/4/1980,35,Arsenal
160109,1205,11,Daniel Pudil,MF,9/27/1985,30,Sheff. Wednesday
160115,1205,12,Milan Skoda,FD,1/16/1986,30,Slavia Praha
160108,1205,13,Jaroslav PlaSil,MF,1/5/1982,34,Bordeaux
160105,1205,14,Daniel Kolar,MF,10/27/1985,30,Plzen
160107,1205,15,David Pavelka,MF,5/18/1991,25,Kasimpasa
160095,1205,16,TomasVaclik,GK,3/29/1989,27,Basel
160102,1205,17,Marek Suchy,DF,3/29/1988,28,Basel
160112,1205,18,Josef Sural,MF,5/30/1990,26,Sparta Praha
160106,1205,19,Ladislav Krejci,MF,7/5/1992,23,Sparta Praha
160111,1205,20,Jiri Skalak,MF,3/12/1992,24,Brighton
160113,1205,21,David Lafata,FD,9/18/1981,34,Sparta Praha
160103,1205,22,Vladimir Darida,MF,8/8/1990,25,Hertha
160094,1205,23,TomasKoubek,GK,8/26/1992,23,Liberec
160117,1206,1,Joe Hart,GK,4/19/1987,29,Man. City
160125,1206,2,Kyle Walker,DF,5/28/1990,26,Tottenham
160122,1206,3,Danny Rose,DF,7/2/1990,25,Tottenham
160131,1206,4,James Milner,MF,1/4/1986,30,Liverpool
160120,1206,5,Gary Cahill,DF,12/19/1985,30,Chelsea
160123,1206,6,Chris Smalling,DF,11/22/1989,26,Man. United
160132,1206,7,Raheem Sterling,MF,12/8/1994,21,Man. City
160130,1206,8,Adam Lallana,MF,5/10/1988,28,Liverpool
160134,1206,9,Harry Kane,FD,7/28/1993,22,Tottenham
160136,1206,10,Wayne Rooney,FD,10/24/1985,30,Man. United
160138,1206,11,Jamie Vardy,FD,1/11/1987,29,Leicester
160121,1206,12,Nathaniel Clyne,DF,4/5/1991,25,Liverpool
160116,1206,13,Fraser Forster,GK,3/17/1988,28,Southampton
160129,1206,14,Jordan Henderson,MF,6/17/1990,26,Liverpool
160137,1206,15,Daniel Sturridge,FD,9/1/1989,26,Liverpool
160124,1206,16,John Stones,DF,5/28/1994,22,Everton
160128,1206,17,Eric Dier,MF,1/15/1994,22,Tottenham
160133,1206,18,Jack Wilshere,MF,1/1/1992,24,Arsenal
160127,1206,19,Ross Barkley,MF,12/5/1993,22,Everton
160126,1206,20,Dele Alli,MF,4/11/1996,20,Tottenham
160119,1206,21,Ryan Bertrand,DF,8/5/1989,26,Southampton
160135,1206,22,Marcus Rashford,FD,10/31/1997,18,Man. United
160118,1206,23,Tom Heaton,GK,4/15/1986,30,Burnley
160140,1207,1,Hugo Lloris,GK,12/26/1986,29,Tottenham
160144,1207,2,Christophe Jallet,DF,10/31/1983,32,Lyon
160143,1207,3,Patrice Evra,DF,5/15/1981,35,Juventus
160147,1207,4,Adil Rami,DF,12/27/1985,30,Sevilla
160152,1207,5,NGolo Kante,MF,3/29/1991,25,Leicester
160150,1207,6,Yohan Cabaye,MF,1/14/1986,30,Crystal Palace
160160,1207,7,Antoine Griezmann,FD,3/21/1991,25,Atletico
160154,1207,8,Dimitri Payet,MF,3/29/1987,29,West Ham
160159,1207,9,Olivier Giroud,FD,9/30/1986,29,Arsenal
160158,1207,10,Andre-Pierre Gignac,FD,12/5/1985,30,Tigres
160161,1207,11,Anthony Martial,FD,12/5/1995,20,Man. United
160156,1207,12,Morgan Schneiderlin,MF,11/8/1989,26,Man. United
160146,1207,13,Eliaquim Mangala,DF,2/13/1991,25,Man. City
160153,1207,14,Blaise Matuidi,MF,4/9/1987,29,Paris
160155,1207,15,Paul Pogba,MF,3/15/1993,23,Juventus
160141,1207,16,Steve Mandanda,GK,3/28/1985,31,Marseille
160142,1207,17,Lucas Digne,DF,7/20/1993,22,Roma
160157,1207,18,Moussa Sissoko,MF,8/16/1989,26,Newcastle
160148,1207,19,Bacary Sagna,DF,2/14/1983,33,Man. City
160151,1207,20,Kingsley Coman,MF,6/13/1996,20,Bayern
160145,1207,21,Laurent Koscielny,DF,9/10/1985,30,Arsenal
160149,1207,22,Samuel Umtiti,DF,11/14/1993,22,Lyon
160139,1207,23,Benoit Costil,GK,7/3/1987,28,Rennes
160163,1208,1,Manuel Neuer,GK,3/27/1986,30,Bayern
160170,1208,2,Shkodran Mustafi,DF,4/17/1992,24,Valencia
160166,1208,3,Jonas Hector,DF,5/27/1990,26,Koln
160167,1208,4,Benedikt Howedes,DF,2/29/1988,28,Schalke
160168,1208,5,Mats Hummels,DF,12/16/1988,27,Dortmund
160175,1208,6,Sami Khedira,MF,4/4/1987,29,Juventus
160180,1208,7,Bastian Schweinsteiger,MF,8/1/1984,31,Man. United
160177,1208,8,Mesut ozil,MF,10/15/1988,27,Arsenal
160179,1208,9,Andre Schurrle,MF,11/6/1990,25,Wolfsburg
160184,1208,10,Lukas Podolski,FD,6/4/1985,31,Galatasaray
160173,1208,11,Julian Draxler,MF,9/20/1993,22,Wolfsburg
160162,1208,12,Bernd Leno,GK,3/4/1992,24,Leverkusen
160183,1208,13,Thomas Muller,FD,9/13/1989,26,Bayern
160172,1208,14,Emre Can,MF,1/12/1994,22,Liverpool
160181,1208,15,Julian Weigl,MF,9/8/1995,20,Dortmund
160171,1208,16,Jonathan Tah,DF,2/11/1996,20,Leverkusen
160165,1208,17,Jerome Boateng,DF,9/3/1988,27,Bayern
160176,1208,18,Toni Kroos,MF,1/4/1990,26,Real Madrid
160174,1208,19,Mario Gotze,MF,6/3/1992,24,Bayern
160178,1208,20,Leroy Sane,MF,1/11/1996,20,Schalke
160169,1208,21,Joshua Kimmich,DF,2/8/1995,21,Bayern
160164,1208,22,Marc-Andre ter Stegen,GK,4/30/1992,24,Barcelona
160182,1208,23,Mario Gomez,FD,7/10/1985,30,Besiktas
160187,1209,1,Gabor Kiraly,GK,4/1/1976,40,Haladas
160194,1209,2,Adam Lang,DF,1/17/1993,23,Videoton
160193,1209,3,Mihaly Korhut,DF,12/1/1988,27,Debrecen
160192,1209,4,Tamas Kadar,DF,3/14/1990,26,Lech
160189,1209,5,Attila Fiola,DF,2/17/1990,26,Puskas Akademia
160196,1209,6,Akos Elek,MF,7/21/1988,27,Diosgyor
160202,1209,7,Balazs Dzsudzsak,FD,12/23/1986,29,Bursaspor
160199,1209,8,Adam Nagy,MF,6/17/1995,21,Ferencvaros
160207,1209,9,Adam Szalai,FD,12/9/1987,28,Hannover
160203,1209,10,Zoltan Gera,FD,4/22/1979,37,Ferencvaros
160204,1209,11,Krisztian Nemeth,FD,1/5/1989,27,Al-Gharafa
160185,1209,12,Denes Dibusz,GK,11/16/1990,25,Ferencvaros
160201,1209,13,Daniel Bode,FD,10/24/1986,29,Ferencvaros
160198,1209,14,Gergo Lovrencsics,MF,9/1/1988,27,Lech
160197,1209,15,Laszlo Kleinheisler,MF,4/8/1994,22,Bremen
160195,1209,16,adam Pinter,DF,6/12/1988,28,Ferencvaros
160205,1209,17,Nemanja Nikolic,FD,12/31/1987,28,Legia
160200,1209,18,Zoltan Stieber,MF,10/16/1988,27,Nurnberg
160206,1209,19,Tamas Priskin,FD,9/27/1986,29,Slovan Bratislava
160190,1209,20,Richard Guzmics,DF,4/16/1987,29,Wisla
160188,1209,21,Barnabas Bese,DF,5/6/1994,22,MTK
160186,1209,22,Peter Gulacsi,GK,5/6/1990,26,Leipzig
160191,1209,23,Roland Juhasz,DF,7/1/1983,32,Videoton
160208,1210,1,Hannes Halldorsson,GK,4/27/1984,32,Bodo/Glimt
160216,1210,2,Birkir Saevarsson,DF,11/11/1984,31,Hammarby
160212,1210,3,Haukur Heidar Hauksson,DF,9/1/1991,24,AIK
160213,1210,4,Hjortur Hermannsson,DF,2/8/1995,21,Goteborg
160214,1210,5,Sverrir Ingason,DF,8/5/1993,22,Lokeren
160217,1210,6,Ragnar Sigurdsson,DF,6/19/1986,29,Krasnodar
160229,1210,7,Johann Gudmundsson,FD,10/27/1990,25,Charlton
160221,1210,8,Birkir Bjarnason,MF,5/27/1988,28,Basel
160230,1210,9,Kolbeinn Sigthorsson,FD,3/14/1990,26,Nantes
160224,1210,10,Gylfi Sigurdsson,MF,9/8/1989,26,Swansea
160227,1210,11,Alfred Finnbogason,FD,2/1/1989,27,Augsburg
160210,1210,12,Ogmundur Kristinsson,GK,6/19/1989,26,Hammarby
160209,1210,13,Ingvar Jonsson,GK,10/18/1989,26,Sandefjord
160220,1210,14,Kari Arnason,MF,10/13/1982,33,Malmo
160226,1210,15,Jon Dadi Bodvarsson,FD,5/25/1992,24,Kaiserslautern
160225,1210,16,Runar Mar Sigurjonsson,MF,6/18/1990,26,Sundsvall
160222,1210,17,Aron Gunnarsson,MF,4/22/1989,27,Cardiff
160211,1210,18,Elmar Bjarnason,DF,3/4/1987,29,AGF
160215,1210,19,Hordur Magnusson,DF,2/11/1993,23,Cesena
160223,1210,20,Emil Hallfredsson,MF,6/29/1984,31,Udinese
160219,1210,21,Arnor Ingvi Traustason,DF,4/30/1993,23,Norrkoping
160228,1210,22,Eidur Gudjohnsen,FD,9/15/1978,37,Molde
160218,1210,23,Ari Skulason,DF,5/14/1987,29,OB
160231,1211,1,Gianluigi Buffon,GK,1/28/1978,38,Juventus
160238,1211,2,Mattia De Sciglio,DF,10/20/1992,23,Milan
160236,1211,3,Giorgio Chiellini,DF,8/14/1984,31,Juventus
160237,1211,4,Matteo Darmian,DF,12/2/1989,26,Man. United
160239,1211,5,Angelo Ogbonna,DF,5/23/1988,28,West Ham
160241,1211,6,Antonio Candreva,MF,2/28/1987,29,Lazio
160253,1211,7,Simone Zaza,FD,6/25/1991,24,Juventus
160243,1211,8,Alessandro Florenzi,MF,3/11/1991,25,Roma
160252,1211,9,Graziano Pelle,FD,7/15/1985,30,Southampton
160245,1211,10,Thiago Motta,MF,8/28/1982,33,Paris
160250,1211,11,Ciro Immobile,FD,2/20/1990,26,Torino
160233,1211,12,Salvatore Sirigu,GK,1/12/1987,29,Paris
160232,1211,13,Federico Marchetti,GK,2/7/1983,33,Lazio
160247,1211,14,Stefano Sturaro,MF,3/9/1993,23,Juventus
160234,1211,15,Andrea Barzagli,DF,5/8/1981,35,Juventus
160242,1211,16,Daniele De Rossi,MF,7/24/1983,32,Roma
160248,1211,17,Eder,FD,11/15/1986,29,Internazionale
160246,1211,18,Marco Parolo,MF,1/25/1985,31,Lazio
160235,1211,19,Leonardo Bonucci,DF,5/1/1987,29,Juventus
160251,1211,20,Lorenzo Insigne,FD,6/4/1991,25,Napoli
160240,1211,21,Federico Bernardeschi,MF,2/16/1994,22,Fiorentina
160249,1211,22,Stephan El Shaarawy,FD,10/27/1992,23,Roma
160244,1211,23,Emanuele Giaccherini,MF,5/5/1985,31,Bologna
160256,1212,1,Michael McGovern,GK,7/12/1984,31,Hamilton
160264,1212,2,Conor McLaughlin,DF,7/26/1991,24,Fleetwood
160269,1212,3,Shane Ferguson,MF,7/12/1991,24,Millwall
160262,1212,4,Gareth McAuley,DF,12/5/1979,36,West Brom
160259,1212,5,Jonny Evans,DF,1/3/1988,28,West Brom
160257,1212,6,Chris Baird,DF,2/25/1982,34,Fulham
160275,1212,7,Niall McGinn,FD,7/20/1987,28,Aberdeen
160267,1212,8,Steven Davis,MF,1/1/1985,31,Southampton
160273,1212,9,Will Grigg,FD,7/3/1991,24,Wigan
160274,1212,10,Kyle Lafferty,FD,9/16/1987,28,Birmingham
160276,1212,11,Conor Washington,FD,5/18/1992,24,QPR
160254,1212,12,Roy Carroll,GK,9/30/1977,38,Notts County
160268,1212,13,Corry Evans,MF,7/30/1990,25,Blackburn
160266,1212,14,Stuart Dallas,MF,4/19/1991,25,Leeds
160263,1212,15,Luke McCullough,DF,2/15/1994,22,Doncaster
160271,1212,16,Oliver Norwood,MF,4/12/1991,25,Reading
160265,1212,17,Paddy McNair,DF,4/27/1995,21,Man. United
160261,1212,18,Aaron Hughes,DF,11/8/1979,36,Melbourne City
160272,1212,19,Jamie Ward,MF,5/12/1986,30,Nottm Forest
160258,1212,20,Craig Cathcart,DF,2/6/1989,27,Watford
160270,1212,21,Josh Magennis,MF,8/15/1990,25,Kilmarnock
160260,1212,22,Lee Hodson,DF,10/2/1991,24,MK Dons
160255,1212,23,Alan Mannus,GK,5/19/1982,34,St Johnstone
160279,1213,1,Wojciech Szczesny,GK,4/18/1990,26,Roma
160283,1213,2,Michal Pazdan,DF,9/21/1987,28,Legia
160282,1213,3,Artur Jedrzejczyk,DF,11/4/1987,28,Legia
160280,1213,4,Thiago Cionek,DF,4/21/1986,30,Palermo
160293,1213,5,Krzysztof Maczynski,MF,5/23/1987,29,Wisla
160289,1213,6,Tomasz Jodlowiec,MF,9/8/1985,30,Legia
160298,1213,7,Arkadiusz Milik,FD,2/28/1994,22,Ajax
160292,1213,8,Karol Linetty,MF,2/2/1995,21,Lech
160297,1213,9,Robert Lewandowski,FD,8/21/1988,27,Bayern
160291,1213,10,Grzegorz Krychowiak,MF,1/29/1990,26,Sevilla
160288,1213,11,Kamil Grosicki,MF,6/8/1988,28,Rennes
160277,1213,12,Artur Boruc,GK,2/20/1980,36,Bournemouth
160299,1213,13,Mariusz Stepinski,FD,5/12/1995,21,Ruch
160286,1213,14,Jakub Wawrzyniak,DF,7/7/1983,32,Lechia
160281,1213,15,Kamil Glik,DF,2/3/1988,28,Torino
160287,1213,16,Jakub Blaszczykowski,MF,12/14/1985,30,Fiorentina
160294,1213,17,Slawomir Peszko,MF,2/19/1985,31,Lechia
160285,1213,18,Bartosz Salamon,DF,5/1/1991,25,Cagliari
160296,1213,19,Piotr Zielinski,MF,5/20/1994,22,Empoli
160284,1213,20,Lukasz Piszczek,DF,6/3/1985,31,Dortmund
160290,1213,21,Bartosz Kapustka,MF,12/23/1996,19,
160278,1213,22,Lukasz Fabianski,GK,4/18/1985,31,Swansea
160295,1213,23,Filip Starzynski,MF,5/27/1991,25,Zaglebie
160302,1214,1,Rui Patricio,GK,2/15/1988,28,Sporting CP
160303,1214,2,Bruno Alves,DF,11/27/1981,34,Fenerbahce
160307,1214,3,Pepe,DF,2/26/1983,33,Real Madrid
160306,1214,4,Jose Fonte,DF,12/22/1983,32,Southampton
160308,1214,5,Raphael Guerreiro,DF,12/22/1993,22,Lorient
160309,1214,6,Ricardo Carvalho,DF,5/18/1978,38,Monaco
160322,1214,7,Cristiano Ronaldo,FD,2/5/1985,31,Real Madrid
160314,1214,8,Joao Moutinho,MF,9/8/1986,29,Monaco
160319,1214,9,Eder,FD,12/22/1987,28,LOSC
160313,1214,10,Joao Mario,MF,1/19/1993,23,Sporting CP
160317,1214,11,Vieirinha,MF,1/24/1986,30,Wolfsburg
160301,1214,12,Anthony Lopes,GK,10/1/1990,25,Lyon
160312,1214,13,Danilo,MF,9/9/1991,24,Porto
160318,1214,14,William Carvalho,MF,4/7/1992,24,Sporting CP
160311,1214,15,Andre Gomes,MF,7/30/1993,22,Valencia
160316,1214,16,Renato Sanches,MF,8/18/1997,18,Benfica
160320,1214,17,Nani,FD,11/17/1986,29,Fenerbahce
160315,1214,18,Rafa Silva,MF,5/17/1993,23,Braga
160305,1214,19,Eliseu,DF,10/1/1983,32,Benfica
160321,1214,20,Ricardo Quaresma,FD,9/26/1983,32,Besiktas
160304,1214,21,Cedric,DF,8/31/1991,24,Southampton
160300,1214,22,Eduardo,GK,9/19/1982,33,Dinamo Zagreb
160310,1214,23,Adrien Silva,MF,3/15/1989,27,Sporting CP
160325,1215,1,Keiren Westwood,GK,10/23/1984,31,Sheff. Wednesday
160328,1215,2,Seamus Coleman,DF,10/11/1988,27,Everton
160327,1215,3,Ciaran Clark,DF,9/26/1989,26,Aston Villa
160331,1215,4,John OShea,DF,4/30/1981,35,Sunderland
160330,1215,5,Richard Keogh,DF,8/11/1986,29,Derby
160341,1215,6,Glenn Whelan,MF,1/13/1984,32,Stoke
160338,1215,7,Aiden McGeady,MF,4/4/1986,30,Sheff. Wednesday
160336,1215,8,James McCarthy,MF,11/12/1990,25,Everton
160343,1215,9,Shane Long,FD,1/22/1987,29,Southampton
160342,1215,10,Robbie Keane,FD,7/8/1980,35,LA Galaxy
160337,1215,11,James McClean,MF,4/22/1989,27,West Brom
160329,1215,12,Shane Duffy,DF,1/1/1992,24,Blackburn
160334,1215,13,Jeff Hendrick,MF,1/31/1992,24,Derby
160345,1215,14,Jon Walters,FD,9/20/1983,32,Stoke
160326,1215,15,Cyrus Christie,DF,9/30/1992,23,Derby
160323,1215,16,Shay Given,GK,4/20/1976,40,Stoke
160332,1215,17,Stephen Ward,DF,8/20/1985,30,Burnley
160339,1215,18,David Meyler,MF,5/29/1989,27,Hull
160333,1215,19,Robbie Brady,MF,1/14/1992,24,Norwich
160335,1215,20,Wes Hoolahan,MF,5/20/1982,34,Norwich
160344,1215,21,Daryl Murphy,FD,3/15/1983,33,Ipswich
160340,1215,22,Stephen Quinn,MF,4/1/1986,30,Reading
160324,1215,23,Darren Randolph,GK,5/12/1987,29,West Ham
160347,1216,1,Costel Pantilimon,GK,2/1/1987,29,Watford
160353,1216,2,Alexandru Matel,DF,10/17/1989,26,Dinamo Zagreb
160355,1216,3,Razvan Rat,DF,5/26/1981,35,Rayo Vallecano
160354,1216,4,Cosmin Moti,DF,12/3/1984,31,Ludogorets
160358,1216,5,Ovidiu Hoban,MF,12/27/1982,33,H. Beer-Sheva
160349,1216,6,Vlad Chiriches,DF,11/14/1989,26,Napoli
160357,1216,7,Alexandru Chipciu,MF,5/18/1989,27,Steaua
160359,1216,8,Mihai Pintilii,MF,11/9/1984,31,Steaua
160365,1216,9,Denis Alibec,FD,1/5/1991,25,Astra
160363,1216,10,Nicolae Stanciu,MF,5/7/1993,23,Steaua
160364,1216,11,Gabriel Torje,MF,11/22/1989,26,Osmanlispor
160348,1216,12,Ciprian Tatarusanu,GK,2/9/1986,30,Fiorentina
160367,1216,13,Claudiu Keeru,FD,12/2/1986,29,Ludogorets
160366,1216,14,Florin Andone,FD,4/11/1993,23,Cordoba
160351,1216,15,Valerica Gaman,DF,2/25/1989,27,Astra
160350,1216,16,Steliano Filip,DF,5/15/1994,22,Dinamo Bucuresti
160362,1216,17,Lucian Sanmartean,MF,3/13/1980,36,Al-Ittihad
160361,1216,18,Andrei Prepelita,MF,12/8/1985,30,Ludogorets
160368,1216,19,Bogdan Stancu,FD,6/28/1987,28,Genclerbirligi
160360,1216,20,Adrian Popa,MF,7/24/1988,27,Steaua
160352,1216,21,Dragos Grigore,DF,9/7/1986,29,Al-Sailiya
160356,1216,22,Cristian Sapunaru,DF,4/5/1984,32,Pandurii
160346,1216,23,Silviu Lung,GK,6/4/1989,27,Astra
160369,1217,1,Igor Akinfeev,GK,4/8/1986,30,CSKA Moskva
160378,1217,2,Roman Shishkin,DF,1/27/1987,29,Lokomotiv Moskva
160379,1217,3,Igor Smolnikov,DF,8/8/1988,27,Zenit
160374,1217,4,Sergei Ignashevich,DF,7/14/1979,36,CSKA Moskva
160376,1217,5,Roman Neustadter,DF,2/18/1988,28,Schalke
160372,1217,6,Aleksei Berezutski,DF,6/20/1982,33,CSKA Moskva
160388,1217,7,Artur Yusupov,MF,9/1/1989,26,Zenit
160380,1217,8,Denis Glushakov,MF,1/27/1987,29,Spartak Moskva
160390,1217,9,Aleksandr Kokorin,FD,3/19/1991,25,Zenit
160391,1217,10,Fedor Smolov,FD,2/9/1990,26,Krasnodar
160383,1217,11,Pavel Mamaev,MF,9/17/1988,27,Krasnodar
160371,1217,12,Yuri Lodygin,GK,5/26/1990,26,Zenit
160381,1217,13,Aleksandr Golovin,MF,5/30/1996,20,CSKA Moskva
160373,1217,14,Vasili Berezutski,DF,6/20/1982,33,CSKA Moskva
160386,1217,15,Roman Shirokov,MF,7/6/1981,34,CSKA Moskva
160370,1217,16,Guilherme,GK,12/12/1985,30,Lokomotiv Moskva
160385,1217,17,Oleg Shatov,MF,7/29/1990,25,Zenit
160382,1217,18,Oleg Ivanov,MF,8/4/1986,29,Terek
160384,1217,19,Aleksandr Samedov,MF,7/19/1984,31,Lokomotiv Moskva
160387,1217,20,Dmitri Torbinski,MF,4/28/1984,32,Krasnodar
160377,1217,21,Georgi Schennikov,DF,4/27/1991,25,CSKA Moskva
160389,1217,22,Artem Dzyuba,FD,8/22/1988,27,Zenit
160375,1217,23,Dmitri Kombarov,DF,1/22/1987,29,Spartak Moskva
160393,1218,1,Jan Mucha,GK,12/5/1982,33,Slovan Bratislava
160398,1218,2,Peter Pekarik,DF,10/30/1986,29,Hertha
160401,1218,3,Martin Skrtel,DF,12/15/1984,31,Liverpool
